Código ICAO,Aeródromo,Município,Jan 2020,Jan 2021,Taxa de crescimento (%)
SBGR,Aeroporto Internacional de São Paulo,Guarulhos/SP,2.902.604,1.898.023,-34.61
SBSP,Aeroporto de São Paulo/Congonhas,São Paulo/SP,1.844.738,663.138,-64.05
SBBR,Aeroporto Internacional de Brasília,Brasília/DF,1.477.584,937.921,-36.52
SBRJ,Aeroporto do Rio de Janeiro,Rio de Janeiro/RJ,964.821,595.698,-38.26
SBCF,Aeroporto Internacional de Confins,Confins/MG,899.849,571.975,-36.44
SBKP,Aeroporto Internacional de Viracopos/Campinas,Campinas/SP,786.005,761.830,-3.08
SBRF,Aeroporto Internacional de Recife,Recife/PE,767.790,645.090,-15.98
SBGL,Aeroporto Internacional do Rio de Janeiro,Rio de Janeiro/RJ,763.217,240.493,-68.49
SBSV,Aeroporto Internacional de Salvador,Salvador/BA,680.312,467.943,-31.22
SBPA,Aeroporto Internacional de Porto Alegre,Porto Alegre/RS,671.652,355.454,-47.08
SBFZ,Aeroporto Internacional de Fortaleza,Fortaleza/CE,612.053,356.025,-41.83
SBCT,Aeroporto Internacional de Curitiba,Curitiba/PR,551.860,245.724,-55.47
SBFL,Aeroporto Internacional de Florianópolis,Florianópolis/SC,318.780,201.594,-36.76
SBBE,Aeroporto Internacional de Belém,Belém/PA,309.709,258.629,-16.49
SBVT,Aeroporto de Vitória,Vitória/ES,297.619,171.948,-42.23
SBEG,Aeroporto Internacional de Manaus,Manaus/AM,270.610,175.002,-35.33
SBGO,Aeroporto de Goiânia,Goiânia/GO,258.364,176.837,-31.56
SBCY,Aeroporto Internacional de Cuiabá,Várzea Grande/MT,244.217,184.802,-24.33
SBSG,Aeroporto de São Gonçalo do Amarante,São Gonçalo do Amarante/RN,238.472,157.804,-33.83
SBMO,Aeroporto Internacional de Maceió,Maceió/AL,204.930,141.612,-30.90
SBSL,Aeroporto Internacional de São Luís,São Luís/MA,148.857,105.621,-29.05
SBJP,Aeroporto Internacional de João Pessoa,João Pessoa/PB,142.057,118.879,-16.32
SBCG,Aeroporto Internacional de Campo Grande,Campo Grande/MS,128.545,81.230,-36.81
SBAR,Aeroporto de Aracaju,Aracaju/SE,109.656,80.845,-26.27
SBTE,Aeroporto de Teresina,Teresina/PI,101.511,81.756,-19.46
SBPV,Aeroporto Internacional de Porto Velho,Porto Velho/RO,70.826,63.787,-9.94
SBMQ,Aeroporto Internacional de Macapá,Macapá/AP,55.700,40.726,-26.88
SBPJ,Aeroporto de Palmas,Palmas/TO,42.625,41.509,-2.62
SBRB,Aeroporto de Rio Branco,Rio Branco/AC,35.426,25.599,-27.74
SBBV,Aeroporto Internacional de Boa Vista,Boa Vista/RR,31.906,25.352,-20.54
